time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/07/11/08:55:15.063888,25,1562828115,63766956,map,0,1,47.059113,15.4586018333,407.8,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:16.064341,26,1562828116,64198017,map,0,1,47.0591128333,15.458602,408.1,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:17.061653,27,1562828117,61150074,map,0,1,47.0591126667,15.4586021667,408.4,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:18.063225,28,1562828118,63087940,map,0,1,47.0591125,15.4586021667,408.6,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:19.064754,29,1562828119,64527988,map,0,1,47.0591123333,15.4586026667,408.9,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:20.063564,30,1562828120,63396930,map,0,1,47.059112,15.4586028333,409.1,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:21.060436,31,1562828121,60282945,map,0,1,47.059112,15.458603,409.3,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:22.065057,32,1562828122,64678907,map,0,1,47.0591118333,15.4586033333,409.3,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:23.063869,33,1562828123,63719034,map,0,1,47.0591115,15.4586033333,409.4,"(0.4051322499999999, 0.0, 0.0, 0.0, 1.0100250000000002, 0.0, 0.0, 0.0, 114.91840000000002)",1
2019/07/11/08:55:24.064148,34,1562828124,63805103,map,0,1,47.0591111667,15.4586035,409.4,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:25.064094,35,1562828125,63976049,map,0,1,47.0591111667,15.4586035,409.4,"(0.42068195999999997, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:26.062593,36,1562828126,62472105,map,0,1,47.0591106667,15.4586031667,409.5,"(0.42068195999999997, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:27.063292,37,1562828127,63158988,map,0,1,47.0591101667,15.4586028333,409.6,"(0.42068195999999997, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:28.060568,38,1562828128,60337066,map,0,1,47.0591095,15.4586025,409.6,"(0.42068195999999997, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:29.061623,39,1562828129,61499118,map,0,1,47.0591098333,15.4586026667,409.6,"(0.42068195999999997, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:30.063054,40,1562828130,62922000,map,0,1,47.05911,15.458603,409.5,"(0.4117788899999999, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:31.063566,41,1562828131,63417911,map,0,1,47.0591101667,15.4586033333,409.4,"(0.4117788899999999, 0.0, 0.0, 0.0, 0.9331559999999998, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:32.064465,42,1562828132,64318895,map,0,1,47.059111,15.4586046667,409.3,"(0.42068195999999997, 0.0, 0.0, 0.0, 0.9331559999999998, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:33.063247,43,1562828133,62999963,map,0,1,47.0591115,15.4586058333,409.1,"(0.4117788899999999, 0.0, 0.0, 0.0, 0.9331559999999998, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:34.063881,44,1562828134,63716888,map,0,1,47.0591115,15.4586063333,409.0,"(0.40297104000000006, 0.0, 0.0, 0.0, 0.9331559999999998, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:35.063202,45,1562828135,63043117,map,0,1,47.0591116667,15.4586073333,408.9,"(0.40297104000000006, 0.0, 0.0, 0.0, 0.8046089999999998, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:36.063209,46,1562828136,63071966,map,0,1,47.0591111667,15.4586076667,408.8,"(0.40297104000000006, 0.0, 0.0, 0.0, 0.8046089999999998, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:37.062562,47,1562828137,62413930,map,0,1,47.0591106667,15.4586073333,408.7,"(0.43599609, 0.0, 0.0, 0.0, 0.725904, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:55:38.062733,48,1562828138,62447071,map,0,1,47.0591103333,15.4586073333,408.7,"(0.44542275999999986, 0.0, 0.0, 0.0, 0.725904, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:55:39.059237,49,1562828139,59041976,map,0,1,47.0591093333,15.4586068333,408.7,"(0.43877375999999985, 0.0, 0.0, 0.0, 0.685584, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:40.063476,50,1562828140,63215017,map,0,1,47.0591088333,15.4586068333,408.7,"(0.43877375999999985, 0.0, 0.0, 0.0, 0.685584, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:41.063430,51,1562828141,63273906,map,0,1,47.0591086667,15.458607,408.7,"(0.43877375999999985, 0.0, 0.0, 0.0, 0.685584, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:42.061927,52,1562828142,61709880,map,0,1,47.0591081667,15.4586073333,408.6,"(0.5292562500000001, 0.0, 0.0, 0.0, 0.8099999999999998, 0.0, 0.0, 0.0, 144.0)",1
2019/07/11/08:55:43.063908,53,1562828143,63601016,map,0,1,47.0591075,15.458607,408.5,"(0.45724643999999987, 0.0, 0.0, 0.0, 0.685584, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:44.062847,54,1562828144,62695980,map,0,1,47.0591065,15.4586021667,408.2,"(0.540225, 0.0, 0.0, 0.0, 0.8099999999999998, 0.0, 0.0, 0.0, 144.0)",1
